STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,MEASURE,Mesure,FREQ,Fréquence d'observation,TIME_PERIOD,Période de temps,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MEASURE,Unité de mesure,UNIT_MULT,Multiplicateur d'unité,CURRENCY,Monnaie,BASE_PER,Période de base,METHODOLOGY,Méthode,DECIMALS,Decimals,PRICE_BASE,Ajustement,ADJUSTMENT,Base de prix
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2025-Q3,,2624937156626.49,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2025-Q2,,2617963197234.21,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2001-Q1,,1980319200000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2000-Q4,,1968999600000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2000-Q3,,1957973200000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2000-Q2,,1942816000000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2000-Q1,,1922357600000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2004-Q1,,2061821200000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2003-Q4,,2040039200000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2003-Q3,,2032722400000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2003-Q2,,2011728000000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2003-Q1,,2020112400000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2002-Q4,,2014140400000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2002-Q3,,2011982400000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2002-Q2,,2004403600000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2002-Q1,,1994337600000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2001-Q4,,1982903600000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2001-Q3,,1991523600000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2001-Q2,,1981279200000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2010-Q4,,2239994000000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2010-Q3,,2226202000000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
